CAMPAÑA,STATUS,OP,OC,BUYER,SUPPLIER,CATEGORY,PRODUCTO,PROYECT,FACTURA,QTY,UM,CUR,AMOUNT,AMOUNT USD,PAYMENT TERM,INCOTERM,MODE,TYPE,COUNTRY ORIGIN,POL,POD,CTNR QTY,CTNR TYPE,BULKS,CARGO READY,CP OPENNING,QUOTE REQUEST RATE,ASSIGMENT DATE2,FFW,NAVIERA / AEROLINEA,BOOKING,CNTR NR,PICK UP DATE,STACKING,ATD,WEEK ATD,B/L- AWB,NAVE,ATA,WEEK ATA,INSURANCE HPER,INSURANCE POLICY DATE,DEPOT,AG. ADUANA,Orden,FECHA IE,FECHA NUM DAM,DAM,FECHA DESCARGA,FECHA TARJA,FECHA LEVANTE,FECHA VISTO BUENO,FECHA INSPECCION SENASA,FECHA LIBERACION SENASA,FECHA VCTO SOBRESTADIA,TRANSP LIMA (T1),FECHA RETIRO (T1),GR T1 ,TRANSP TRUX (T2),FECHA ENTREGA BASE T2 (T1),FECHA GATE IN (T1),PUNTO DE LLEGADA,FECHA INICIO DE VIAJE  (T2),FECHA FIN DE VIAJE (T2),WEEK TRUX ,FECHA CONFIRMACION RECEPCION,GR T2 ,GR HORTIFRUT,WEEK NECESIDAD,FECHA ENVIO ARCHIV,NRO CAJA ARCHIVO,COURIER PARA ENVÍO DE DOCS,NRO DE TRACKING DOCS ,OBSERVACIONES HORTIFRUT,CARGO PRODUCE OBSERVACIONES
2022-2023,LIQUIDADO,22-001-HPER,4700002273,RENE,HFCH,PLANTAS,DIVINE,-,12118,"25,000",UN,USD,"52,036.99","52,036.99",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,1,-,,,NA,DIRECTO,KOREAN,-, -,-,-,3/1/2022,1,180-48437443,KE0274/03,3/1/2022,1,SI,31/12/2021,SAASA,AVM,26,3/1/2022,6/1/2022,235-2022-10-001340-01-4-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109666,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-001-HPER-1 // 4700002273]
2022-2023,LIQUIDADO,22-001-HPER,4700002273,RENE,HFCH,PLANTAS,ROCIO,-,12118,"37,700",UN,USD,"110,516.78","110,516.78",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,2,-,,,NA,DIRECTO,KOREAN,-, -,-,-,3/1/2022,1,180-48437443,KE0274/03,3/1/2022,1,SI,31/12/2021,SAASA,AVM,26,3/1/2022,6/1/2022,235-2022-10-001340-01-4-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109666,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-001-HPER-2 // 4700002273]
2022-2023,LIQUIDADO,22-001-HPER,4700002273,RENE,HFCH,PLANTAS,SEEDLINGS,-,12118,"4,317",UN,USD,"4,755.09","4,755.09",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,4,-,,,NA,DIRECTO,KOREAN,-,-,-,-,3/1/2022,1,180-48437443,KE0274/03,3/1/2022,1,SI,31/12/2021,SAASA,AVM,26,3/1/2022,6/1/2022,235-2022-10-001340-01-4-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109666,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-001-HPER-3 // 4700002273]
2021-2022,LIQUIDADO,22-002-HPER,4700001929,RENE,OZ,PLANTAS,MAGICA,RV11,INV-OVAU-1505 / INV-OVAU-1606 / INV-OVAU-1607,"93,600",UN,USD,"243,360.00","243,360.00",0,FCA,AIR,AIR,,SANTIAGO,LIMA,-,-,3,-,,,NA,DIRECTO,KOREAN,-,-,-,-,3/1/2022,1,180-48437432,KE0274/03,3/1/2022,1,SI,4/1/2022,SAASA,AVM,66,4/1/2022,5/1/2022,235-2022-10-000897-01-5-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109665,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-002-HPER-1 // 4700001929]
2021-2022,LIQUIDADO,22-002-HPER,4700001929,RENE,OZ,PLANTAS,BONITA,RV11,INV-OVAU-1505 / INV-OVAU-1606 / INV-OVAU-1607,"312,000",UN,USD,"811,200.00","811,200.00",0,FCA,AIR,AIR,,SANTIAGO,LIMA,-,-,10,-,,,NA,DIRECTO,KOREAN,-,-,-,-,3/1/2022,1,180-48437432,KE0274/03,3/1/2022,1,SI,4/1/2022,SAASA,AVM,66,4/1/2022,5/1/2022,235-2022-10-000897-01-5-00,3/1/2022,3/1/2022,6/1/2022,,8/1/2022,8/1/2022,NA,RVC,9/1/2022,001-0109665,RVC,NA,NA,VIVERO ILUSION,9/1/2022,10/1/2022,2,,0004-0002022,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-002-HPER-2 // 4700001929]
2022-2023,LIQUIDADO,22-003-HPER,4700002113,GERMAN,UNITEC,SPAREPARTS,RPTOS VARIOS PARA MAQUINA CALIBRADORA DE ARANDANOS,-,63,2,UN,USD,"2,764.13","2,764.13",0,EXW,AIR,AIR,,SANTIAGO,LIMA,-,-,1,30/12/2021,,,NA,DIRECTO,DHL,-,-,3/1/2021,-,3/1/2022,1,1868096672,DHL COURIER,7/1/2022,1,SI,7/1/2022,DHL,DHL,NA,NA,7/1/2022,235-2022-10-002137-01-8-00,7/1/2022,8/1/2022,7/1/2022,,NA,NA,NA,DHL,10/1/2022,NA,DHL,NA,NA,PACKING SALAVERRY,11/1/2022,12/1/2022,2,,NA,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-003-HPER-1 // 4700002113]
2022-2023,LIQUIDADO,22-004-HPER,PEA2H10101,RENE,INFIA ,E & E,MUESTRAS,-,NA,1,UN,USD,0.00,0.00,0,DAP,AIR,AIR,,BOLOGNA,LIMA,-,-,1,-,,,NA,DIRECTO,DHL,-,-,-,-,4/1/2022,1,3010937576,-,10/1/2022,2,NO,NA,DHL,DHL,NA,NA,NA,NA,10/1/2022,10/1/2022,NA,,NA,NA,NA,NA,9/1/2022,NA,DHL,NA,NA,PACKING SALAVERRY,9/1/2022,10/1/2022,2,,NA,NA,-,,-,NA,NA,-,No cargada por medio de transporte AIRE [21-004-HPER-1 // PEA2H10101]
2021-2022,LIQUIPARCIAL,22-005-HPER,4700002323,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194A,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,FFAU1769097,-,-,10/1/2022,2,MEDUC0772474,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,405,23/3/2022,31/3/2022,118-2022-10-117549-01-7-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,12/4/2022,001-0111491,TRANSPESA,12/4/2022,12/4/2022,FUNDO ARMONIA,26/5/2022,27/5/2022,21,,0008-000490,036-0000008,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-005-HPER // 4700002323-1 // FFAU1769097]
2021-2022,LIQUIPARCIAL,22-005-HPER,4700002323,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194A,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,TCNU1358020,-,-,10/1/2022,2,MEDUC0772474,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,405,23/3/2022,31/3/2022,118-2022-10-117549-01-7-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,12/4/2022,001-0111489,TRANSPESA,12/4/2022,12/4/2022,FUNDO ARMONIA,22/5/2022,23/5/2022,21,,0007-000485,036-0000006,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-005-HPER // 4700002323-2 // TCNU1358020]
2021-2022,LIQUIPARCIAL,22-005-HPER,4700002323,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194A,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,CAIU7462722,-,-,10/1/2022,2,MEDUC0772474,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,405,23/3/2022,31/3/2022,118-2022-10-117549-01-7-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,12/4/2022,001-0111490,TRANSPESA,12/4/2022,12/4/2022,FUNDO ARMONIA,23/5/2022,24/5/2022,21,,0013-002822,036-0000007,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-005-HPER // 4700002323-3 // CAIU7462722]
2021-2022,LIQUIDADO,22-006-HPER,4700002324,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194B,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,MSMU7174438,-,-,10/1/2022,2,MEDUC0772482,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,404,23/3/2022,31/3/2022,118-2022-10-117398-01-9-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111487,AGERSA,11/4/2022,11/4/2022,FUNDO ARMONIA,26/4/2022,27/4/2022,17,,0040-002332,036-0000065,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-006-HPER // 4700002324-1 // MSMU7174438]
2021-2022,LIQUIDADO,22-006-HPER,4700002324,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194B,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,MEDU8333166,-,-,10/1/2022,2,MEDUC0772482,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,404,23/3/2022,31/3/2022,118-2022-10-117398-01-9-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111488,AGERSA,11/4/2022,11/4/2022,FUNDO ARMONIA,28/4/2022,29/4/2022,17,,0052-001925,036-0000070,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-006-HPER // 4700002324-2 // MEDU8333166]
2021-2022,LIQUIDADO,22-006-HPER,4700002324,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194B,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,MSMU7210670,-,-,10/1/2022,2,MEDUC0772482,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,404,23/3/2022,31/3/2022,118-2022-10-117398-01-9-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111486,AGERSA,11/4/2022,11/4/2022,FUNDO ARMONIA,26/4/2022,27/4/2022,17,,0052-001924,036-0000066,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-006-HPER // 4700002324-3 // MSMU7210670]
2021-2022,LIQUIDADO,22-007-HPER,4700002325,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194C,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,CAIU8571651,-,-,10/1/2022,2,MEDUC0772516,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,403,23/3/2022,1/4/2022,118-2022-10-119069-01-2-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111485,JOSELITO,11/4/2022,11/4/2022,FUNDO ARMONIA,17/4/2022,18/4/2022,16,,0001-0206344,014-0001408,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP -  [22-007-HPER // 4700002325-1 // CAIU8571651]
2021-2022,LIQUIDADO,22-007-HPER,4700002325,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/194C,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,CAIU7259309,-,-,10/1/2022,2,MEDUC0772516,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,403,23/3/2022,1/4/2022,118-2022-10-119069-01-2-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111483,JOSELITO,11/4/2022,11/4/2022,FUNDO ARMONIA,2/5/2022,3/5/2022,18,,0001-0021480,014-0001410,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-007-HPER // 4700002325-2 // CAIU7259309]
2021-2022,LIQUIDADO,22-007-HPER,4700002325,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,0,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422572,MEDU8089044,-,-,10/1/2022,2,MEDUC0772516,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,403,23/3/2022,1/4/2022,118-2022-10-119069-01-2-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111484,JOSELITO,11/4/2022,11/4/2022,FUNDO ARMONIA,28/4/2022,29/4/2022,17,,0001-0206630,014-0001409,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP -  [22-007-HPER // 4700002325-3 // MEDU8089044]
2021-2022,LIQUIDADO,22-008-HPER,4700002326,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/193A,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422527,MEDU4759301,-,-,10/1/2022,2,MEDUC0773423,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,402,23/3/2022,31/3/2022,118-2022-10-117392-01-0-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111480,RVC,11/4/2022,11/4/2022,FUNDO ARMONIA,11/4/2022,12/4/2022,15,,0026-000574,014-0001988,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-008-HPER // 4700002326-1 // MEDU4759301]
2021-2022,LIQUIDADO,22-008-HPER,4700002326,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/193A,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422527,TCNU5426340,-,-,10/1/2022,2,MEDUC0773423,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,402,23/3/2022,31/3/2022,118-2022-10-117392-01-0-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111482,RVC,11/4/2022,11/4/2022,FUNDO ARMONIA,11/4/2022,12/4/2022,15,,0015-000928,014-0001989,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-008-HPER // 4700002326-2 // TCNU5426340]
2021-2022,LIQUIDADO,22-008-HPER,4700002326,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/193A,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422527,BEAU5860738,-,-,10/1/2022,2,MEDUC0773423,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,402,23/3/2022,31/3/2022,118-2022-10-117392-01-0-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111481,RVC,11/4/2022,11/4/2022,FUNDO ARMONIA,11/4/2022,12/4/2022,15,,0031-0000131,014-0001990,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-008-HPER // 4700002326-3 // BEAU5860738]
2021-2022,LIQUIDADO,22-009-HPER,4700002327,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/193B,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422527,TCNU6009968,-,-,10/1/2022,2,MEDUC0773431,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,401,23/3/2022,1/4/2022,118-2022-10-118852-01-5-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111478,TRANSPESA,11/4/2022,11/4/2022,FUNDO ARMONIA,17/5/2022,18/5/2022,20,,0010-000228,036-0000004,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-009-HPER // 4700002327-1 // TCNU6009968]
2021-2022,LIQUIDADO,22-009-HPER,4700002327,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/193B,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422527,BMOU5545453,-,-,10/1/2022,2,MEDUC0773431,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,401,23/3/2022,1/4/2022,118-2022-10-118852-01-5-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111479,TRANSPESA,11/4/2022,11/4/2022,FUNDO ARMONIA,11/5/2022,12/5/2022,19,,0009-000212,036-0000002,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-009-HPER // 4700002327-2 // BMOU5545453]
2021-2022,LIQUIPARCIAL,22-009-HPER,4700002327,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/193B,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422527,TCNU7817256,-,-,10/1/2022,2,MEDUC0773431,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,401,23/3/2022,1/4/2022,118-2022-10-118852-01-5-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,11/4/2022,001-0111477,TRANSPESA,11/4/2022,11/4/2022,FUNDO ARMONIA,20/5/2022,21/5/2022,20,,0026-008114,036-0000005,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-009-HPER // 4700002327-3 // TCNU7817256]
2021-2022,LIQUIDADO,22-010-HPER,4700002328,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/193C,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422527,CARU9900362,-,-,10/1/2022,2,MEDUC0773449,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,400,23/3/2022,31/3/2022,118-2022-10-117213-01-9-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,12/4/2022,001-111475,RVC,12/4/2022,12/4/2022,FUNDO ARMONIA,17/4/2022,18/4/2022,16,,0027-0000267,014-0001991,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-010-HPER // 4700002328-1 // CARU9900362]
2021-2022,LIQUIDADO,22-010-HPER,4700002328,RENE,VERITAS,SUSTRATOS ,"5KG NAKED BRICKS-BLUEBERRY
BLEND",RV11,202122/193C,"5,100",UN,USD,"31,595.00","31,595.00",20% AP,CIF,SEA,FCL/FCL,,COLOMBO,CALLAO,1,40HC,20,-,,,NA,DIRECTO,MSC,EBKG02422527,XINU8144936,-,-,10/1/2022,2,MEDUC0773449,MSC BRANKA NX208A,5/4/2022,14,NO,NA,IMUPESA,AVM,400,23/3/2022,31/3/2022,118-2022-10-117213-01-9-00,6/4/2022,6/4/2022,5/4/2022,,8/4/2022,8/4/2022,9/4/2022,AVM,12/4/2022,001-111476,RVC,12/4/2022,12/4/2022,FUNDO ARMONIA,17/4/2022,18/4/2022,16,,0015-0000931,014-0001992,-,24/5/2022,2022-1,DHL,7051526075,-,Cargada en CP - [22-010-HPER // 4700002328-2 // XINU8144936]
2021-2022,LIQUIDADO,22-011-HPER,4700001929,RENE,OZ,PLANTAS,MAGICA,RV11,INV-OVAU-1505 / INV-OVAU-1606 / INV-OVAU-1607,"312,000",UN,USD,"811,200.00","811,200.00",0,FCA,AIR,AIR,,SANTIAGO,LIMA,-,-,10,-,,,NA,DIRECTO,KOREAN,-,-,-,-,17/1/2022,3,180-48440291,KE274/17,17/1/2022,3,SI,17/1/2022,SAASA,AVM,163,17/1/2022,19/1/2022,235-2022-10-007460-01-1-00,17/1/2022,17/1/2022,19/1/2022,,21/1/2022,8/4/2022,NA,NA,23/1/2022,NA,AVM,NA,NA,VIVERO ILUSION,23/1/2022,24/1/2022,4,,001-0109845,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-011-HPER-1 // 4700001929] 
2022-2023,LIQUIDADO,22-012-HPER,4700002312,RENE,HFCH,PLANTAS,"HT78, HT76, HT73, H5115",-,12321,"18,600",UN,USD,"16,368.00","16,368.00",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,1,-,,,NA,DIRECTO,KOREAN,-,-,-,-,17/1/2022,3,180-48440302,KE274/17,17/1/2022,3,SI,17/1/2022,SAASA,AVM,166,17/1/2022,19/1/2022,235-2022-10-007515-01-0-00,17/1/2022,17/1/2022,19/1/2022,,21/1/2022,8/4/2022,NA,NA,23/1/2022,NA,AVM,NA,NA,VIVERO ILUSION,23/1/2022,24/1/2022,4,,001-0109846,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-012-HPER-1 // 4700002312]
2022-2023,LIQUIDADO,22-012-HPER,4700002312,RENE,HFCH,PLANTAS,"ROCIO, DIVINE",-,12320,"126,925",UN,USD,"352,224.48","352,224.48",90,CFR,AIR,AIR,,SANTIAGO,LIMA,-,-,5,-,,,NA,DIRECTO,KOREAN,-,-,-,-,17/1/2022,3,180-48440302,KE274/17,17/1/2022,3,SI,17/1/2022,SAASA,AVM,166,17/1/2022,19/1/2022,235-2022-10-007515-01-0-00,17/1/2022,17/1/2022,19/1/2022,,21/1/2022,8/4/2022,NA,NA,23/1/2022,NA,AVM,NA,NA,VIVERO ILUSION,23/1/2022,24/1/2022,4,,001-0109846,NA,-,24/5/2022,2022-1,NA,NA,-,No cargada por medio de transporte AIRE [22-012-HPER-2 // 4700002313]
2021-2022,LIQUIDADO,22-013-HPER,4700002319,RENE,PROJAR,SUSTRATOS ,TURBA BLEND 1530F,RV11,FX22-00002,22,UN,EUR,"9,725.06","10,697.57",20% AP,CIF,SEA,FCL/FCL,,RIGA,CALLAO,1,40HC,22,-,,,NA,DIRECTO,HAPAG,78901791,FFAU2208911,-,-,16/1/2022,2,HLCURIX220110172,CALLAO EXPRESS 2203S,18/2/2022,7,NO,NA,IMUPESA,AVM,265,8/2/2022,17/2/2022,118-2022-10-061564-01-1-00,19/2/2022,20/2/2022,18/2/2022,,23/2/2022,8/4/2022,23/2/2022,AVM,4/3/2022,001-0110894,AGERSA,4/3/2022,4/3/2022,FUNDO ARMONIA,7/3/2022,8/3/2022,10,,001-0109882,014-0001946,-,24/5/2022,2022-1,UPS,1Z48V0570495745734,-,Cargada en CP - [22-013-HPER-1 // FFAU2208911]
2021-2022,LIQUIDADO,22-013-HPER,4700002319,RENE,PROJAR,SUSTRATOS ,TURBA BLEND 1530F,RV11,FX22-00002,22,UN,EUR,"9,725.06","10,697.57",20% AP,CIF,SEA,FCL/FCL,,RIGA,CALLAO,1,40HC,22,-,,,NA,DIRECTO,HAPAG,78901791,HLBU2783168,-,-,16/1/2022,2,HLCURIX220110172,CALLAO EXPRESS 2203S,18/2/2022,7,NO,NA,IMUPESA,AVM,265,8/2/2022,17/2/2022,118-2022-10-061564-01-1-00,19/2/2022,20/2/2022,18/2/2022,,23/2/2022,23/2/2022,23/2/2022,AVM,4/3/2022,001-0110893,AGERSA,4/3/2022,4/3/2022,FUNDO ARMONIA,7/3/2022,8/3/2022,10,,001-0109882,014-0001945,-,24/5/2022,2022-1,UPS,1Z48V0570495745734,-,Cargada en CP - [22-013-HPER-2 // HLBU2783168]
2021-2022,LIQUIDADO,22-014-HPER,4700002320,RENE,PROJAR,SUSTRATOS ,TURBA BLEND 1530F,RV11,FX22-00010,22,UN,EUR,"9,725.06","10,697.57",20% AP,CIF,SEA,FCL/FCL,,RIGA,CALLAO,1,40HC,22,-,,,NA,DIRECTO,HAPAG,79098462,HLBU2678901,-,-,21/1/2022,3,HLCURIX220110764,SANTOS EXPRESS 2204S,25/2/2022,8,NO,NA,IMUPESA,AVM,279,15/2/2022,23/2/2022,118-2022-10-070864-01-2-00,26/2/2022,27/2/2022,25/2/2022,,1/3/2022,9/3/2022,10/3/2022,AVM,10/3/2022,001-0111087,RVC,10/3/2022,10/3/2022,FUNDO ARMONIA,11/3/2022,12/3/2022,10,,001-0110270,014-0001976,-,24/5/2022,2022-1,UPS,1Z48V0570495745734,-,Cargada en CP - [22-014-HPER-1 // HLBU2678901]
